country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-03-2025 22:00:00",14.465052,78.824187,PM10,73,135,92
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-03-2025 22:00:00",16.9872867,81.7363176,NO2,11,43,24
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-03-2025 22:00:00",16.9872867,81.7363176,CO,13,83,38
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","08-03-2025 22:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","08-03-2025 22:00:00",13.67,79.35,CO,24,48,36
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-03-2025 22:00:00",16.536107,80.594233,PM10,52,75,61
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","08-03-2025 22:00:00",26.446912,91.439057,PM10,107,264,159
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","08-03-2025 22:00:00",26.446912,91.439057,NO2,9,59,29
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","08-03-2025 22:00:00",26.446912,91.439057,CO,8,78,34
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","08-03-2025 22:00:00",26.446912,91.439057,OZONE,15,83,55
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-03-2025 22:00:00",11.654054,92.734055,NO2,8,59,27
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-03-2025 22:00:00",11.654054,92.734055,SO2,1,30,16
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-03-2025 22:00:00",11.654054,92.734055,OZONE,4,63,23
India,Assam,Guwahati,"IITG, Guwahati - PCBA","08-03-2025 22:00:00",26.2028636,91.70046436,CO,12,24,15
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","08-03-2025 22:00:00",26.187500,91.744194,CO,28,87,48
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","08-03-2025 22:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","08-03-2025 22:00:00",26.181742,91.78063,CO,34,92,60
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-03-2025 22:00:00",26.071318,91.87488,NO2,10,34,23
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-03-2025 22:00:00",26.071318,91.87488,CO,26,76,57
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-03-2025 22:00:00",26.349082,92.68449,NH3,1,4,2
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-03-2025 22:00:00",26.349082,92.68449,SO2,12,47,28
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-03-2025 22:00:00",17.72,83.3,PM2.5,41,87,65
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-03-2025 22:00:00",16.536107,80.594233,NH3,3,4,4
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-03-2025 22:00:00",24.82827,92.79525,NO2,13,24,18
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-03-2025 22:00:00",24.762518,84.982348,OZONE,12,64,47
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-03-2025 22:00:00",25.697189,85.245900,NO2,31,53,40
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-03-2025 22:00:00",25.697189,85.245900,NH3,7,11,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-03-2025 22:00:00",25.560083,87.553265,PM2.5,37,123,65
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-03-2025 22:00:00",25.560083,87.553265,PM10,28,86,49
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-03-2025 22:00:00",26.0881305,87.93840336,PM2.5,7,127,56
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-03-2025 22:00:00",26.0881305,87.93840336,OZONE,19,22,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-03-2025 22:00:00",27.308328,84.531742,PM10,49,183,90
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-03-2025 22:00:00",27.308328,84.531742,CO,44,146,103
