city,date,timezone,temperature_max,temperature_min,temperature_mean,humidity_max,humidity_min,humidity_mean,rain_sum,precipitation_hours,wind_speed_max,wind_speed_mean,wind_gusts_max,wind_direction,radiation_sum,cloudcover_mean
Mumbai,2024-09-10,Asia/Kolkata,28.6,25.1,26.7,94.0,78.0,86.0,3.9,17.0,17.6,10.2,35.6,248.0,15.02,95.0
Mumbai,2024-09-11,Asia/Kolkata,28.3,25.0,26.4,93.0,79.0,86.0,4.6,20.0,18.5,12.1,36.0,224.0,18.49,98.0
Mumbai,2024-09-12,Asia/Kolkata,28.5,25.0,26.4,93.0,78.0,86.0,8.2,21.0,17.9,13.1,40.0,231.0,18.17,97.0
Mumbai,2024-09-13,Asia/Kolkata,28.7,24.8,26.4,92.0,74.0,83.0,4.5,21.0,19.2,12.2,37.8,228.0,18.79,72.0
Mumbai,2024-09-14,Asia/Kolkata,28.0,23.9,25.3,94.0,75.0,87.0,9.1,22.0,16.7,10.7,36.0,221.0,15.07,76.0
Mumbai,2024-09-15,Asia/Kolkata,27.5,23.6,25.4,94.0,78.0,87.0,3.9,11.0,13.4,7.9,33.1,229.0,18.68,69.0
Mumbai,2024-09-16,Asia/Kolkata,28.8,23.9,26.2,96.0,77.0,87.0,2.4,14.0,14.6,8.4,31.0,226.0,21.53,70.0
Mumbai,2024-09-17,Asia/Kolkata,29.0,23.2,26.1,97.0,71.0,84.0,0.2,2.0,15.6,7.4,31.7,318.0,22.89,35.0
Mumbai,2024-09-18,Asia/Kolkata,29.3,23.5,26.4,95.0,69.0,83.0,0.8,5.0,13.0,7.1,27.4,248.0,21.5,37.0
Mumbai,2024-09-19,Asia/Kolkata,29.6,24.7,27.2,93.0,70.0,81.0,1.0,5.0,12.8,6.4,28.1,257.0,21.48,38.0
Mumbai,2024-09-20,Asia/Kolkata,28.5,23.4,26.5,98.0,77.0,87.0,5.2,11.0,15.9,6.8,29.2,217.0,15.45,61.0
Mumbai,2024-09-21,Asia/Kolkata,29.8,24.0,27.1,96.0,68.0,83.0,1.9,12.0,15.8,6.9,32.0,317.0,19.28,51.0
Mumbai,2024-09-22,Asia/Kolkata,29.8,25.2,27.5,96.0,70.0,83.0,2.2,9.0,18.5,9.7,36.7,331.0,18.21,48.0
Mumbai,2024-09-23,Asia/Kolkata,29.0,26.2,27.5,94.0,78.0,87.0,5.7,15.0,17.6,10.0,35.6,334.0,14.18,94.0
Mumbai,2024-09-24,Asia/Kolkata,29.1,24.8,26.5,98.0,78.0,91.0,23.1,24.0,22.7,10.3,44.3,343.0,15.74,91.0
Mumbai,2024-09-25,Asia/Kolkata,28.1,24.4,26.1,98.0,86.0,92.0,36.4,24.0,20.6,10.1,38.9,328.0,6.7,100.0
Mumbai,2024-09-26,Asia/Kolkata,26.7,24.6,25.7,99.0,89.0,94.0,48.0,24.0,18.7,8.7,33.5,233.0,5.04,100.0
Mumbai,2024-09-27,Asia/Kolkata,26.9,25.6,26.1,93.0,84.0,90.0,61.7,24.0,28.1,23.6,49.7,250.0,5.77,100.0
Mumbai,2024-09-28,Asia/Kolkata,28.2,25.0,26.7,94.0,82.0,86.0,5.8,18.0,17.9,13.0,37.1,239.0,15.92,98.0
Mumbai,2024-09-29,Asia/Kolkata,28.8,25.1,26.7,94.0,80.0,88.0,4.6,15.0,14.8,8.8,32.0,246.0,17.71,57.0
Mumbai,2024-09-30,Asia/Kolkata,29.8,24.8,27.2,98.0,75.0,88.0,1.6,7.0,15.2,7.3,30.6,322.0,20.02,30.0
Mumbai,2024-10-01,Asia/Kolkata,31.6,25.1,28.0,98.0,71.0,89.0,0.6,4.0,15.7,8.3,33.1,340.0,20.33,38.0
Mumbai,2024-10-02,Asia/Kolkata,30.8,26.2,28.0,99.0,77.0,91.0,1.3,7.0,15.0,6.3,31.0,277.0,18.56,73.0
Mumbai,2024-10-03,Asia/Kolkata,30.2,25.5,27.7,98.0,74.0,87.0,1.4,7.0,15.7,7.2,33.5,266.0,20.94,78.0
Mumbai,2024-10-04,Asia/Kolkata,29.6,25.4,27.4,96.0,75.0,86.0,1.4,10.0,14.4,6.7,29.5,285.0,19.57,75.0
Mumbai,2024-10-05,Asia/Kolkata,29.6,24.4,26.8,96.0,73.0,86.0,1.1,6.0,14.7,6.6,30.6,321.0,20.53,36.0
Mumbai,2024-10-06,Asia/Kolkata,31.4,24.4,27.0,97.0,68.0,86.0,21.4,5.0,17.9,8.2,36.0,3.0,19.98,27.0
Mumbai,2024-10-07,Asia/Kolkata,31.7,24.9,28.2,94.0,72.0,84.0,0.6,2.0,13.7,7.9,28.4,353.0,20.58,24.0
Mumbai,2024-10-08,Asia/Kolkata,32.3,25.3,28.5,97.0,68.0,85.0,0.0,0.0,14.1,7.4,29.5,234.0,21.17,23.0
Mumbai,2024-10-09,Asia/Kolkata,29.2,25.2,26.9,95.0,77.0,88.0,6.4,13.0,18.9,6.3,34.6,88.0,7.77,99.0
Mumbai,2024-10-10,Asia/Kolkata,29.8,24.5,26.9,95.0,73.0,86.0,6.4,8.0,15.9,7.5,31.0,62.0,12.01,97.0
Mumbai,2024-10-11,Asia/Kolkata,31.6,25.1,27.6,95.0,65.0,83.0,22.0,8.0,15.7,7.8,32.0,111.0,16.36,100.0
Mumbai,2024-10-12,Asia/Kolkata,31.5,24.4,27.6,96.0,67.0,86.0,0.7,5.0,11.5,6.1,24.8,98.0,18.62,87.0
Mumbai,2024-10-13,Asia/Kolkata,30.7,24.9,27.6,95.0,74.0,86.0,2.0,7.0,10.9,6.9,23.8,148.0,18.35,59.0
Mumbai,2024-10-14,Asia/Kolkata,31.7,24.3,26.9,97.0,70.0,87.0,5.2,6.0,16.0,7.2,31.3,40.0,19.98,63.0
Mumbai,2024-10-15,Asia/Kolkata,29.7,24.5,26.9,97.0,75.0,87.0,0.0,0.0,11.9,6.4,24.1,153.0,14.43,84.0
Mumbai,2024-10-16,Asia/Kolkata,30.8,24.8,27.3,97.0,74.0,88.0,8.6,10.0,12.5,6.4,25.2,80.0,14.22,85.0
Mumbai,2024-10-17,Asia/Kolkata,29.1,25.4,27.2,97.0,81.0,91.0,2.9,5.0,12.3,7.0,24.8,314.0,7.58,99.0
Mumbai,2024-10-18,Asia/Kolkata,32.0,24.8,27.8,97.0,67.0,85.0,12.4,7.0,13.4,7.9,26.3,159.0,15.21,98.0
Mumbai,2024-10-19,Asia/Kolkata,30.2,24.1,26.5,96.0,71.0,88.0,7.9,9.0,12.1,6.3,27.4,113.0,17.23,77.0
Mumbai,2024-10-20,Asia/Kolkata,29.9,24.1,26.5,95.0,72.0,87.0,6.8,8.0,8.2,5.6,22.3,107.0,17.29,78.0
Mumbai,2024-10-21,Asia/Kolkata,30.5,24.0,27.0,96.0,69.0,85.0,13.3,11.0,8.8,5.5,23.4,93.0,18.02,70.0
Mumbai,2024-10-22,Asia/Kolkata,30.4,23.7,26.8,97.0,74.0,87.0,7.3,9.0,12.3,6.5,25.9,23.0,19.07,61.0
Mumbai,2024-10-23,Asia/Kolkata,31.5,24.3,27.4,97.0,71.0,85.0,0.0,0.0,14.8,8.0,28.8,1.0,19.46,17.0
Mumbai,2024-10-24,Asia/Kolkata,32.6,24.6,28.3,91.0,53.0,75.0,0.0,0.0,14.9,8.1,25.6,12.0,18.94,38.0
Mumbai,2024-10-25,Asia/Kolkata,31.2,22.7,27.1,84.0,64.0,74.0,0.0,0.0,12.5,8.0,24.8,355.0,20.28,70.0
Mumbai,2024-10-26,Asia/Kolkata,32.6,22.2,27.0,78.0,49.0,68.0,0.0,0.0,17.0,9.5,31.3,2.0,20.02,29.0
Mumbai,2024-10-27,Asia/Kolkata,31.7,22.2,27.1,92.0,61.0,78.0,0.0,0.0,15.9,8.7,31.3,343.0,19.92,30.0
Mumbai,2024-10-28,Asia/Kolkata,31.9,23.2,27.3,95.0,63.0,83.0,0.0,0.0,16.2,7.8,28.4,336.0,19.35,22.0
Mumbai,2024-10-29,Asia/Kolkata,31.3,24.6,27.8,96.0,73.0,87.0,0.0,0.0,13.7,6.3,28.8,287.0,18.66,47.0
Mumbai,2024-10-30,Asia/Kolkata,32.8,24.2,27.8,96.0,51.0,83.0,0.0,0.0,12.5,6.4,24.5,13.0,18.58,20.0
Mumbai,2024-10-31,Asia/Kolkata,32.5,24.2,28.4,96.0,59.0,75.0,0.0,0.0,15.2,7.5,27.0,343.0,18.71,6.0
Mumbai,2024-11-01,Asia/Kolkata,31.4,24.6,28.1,95.0,71.0,82.0,0.3,3.0,14.1,7.8,29.2,266.0,18.13,4.0
Mumbai,2024-11-02,Asia/Kolkata,33.2,24.3,28.2,97.0,52.0,76.0,0.0,0.0,17.5,8.1,31.3,358.0,19.04,27.0
Mumbai,2024-11-03,Asia/Kolkata,34.3,22.4,28.1,81.0,36.0,65.0,0.0,0.0,16.6,8.8,28.8,14.0,19.5,0.0
Mumbai,2024-11-04,Asia/Kolkata,34.2,22.9,28.0,77.0,35.0,61.0,0.0,0.0,19.7,9.2,39.6,24.0,19.21,2.0
Mumbai,2024-11-05,Asia/Kolkata,34.4,22.8,28.4,84.0,34.0,60.0,0.0,0.0,15.8,9.0,28.8,49.0,19.35,1.0
Mumbai,2024-11-06,Asia/Kolkata,33.8,22.1,28.1,84.0,36.0,61.0,0.0,0.0,17.7,9.2,31.0,355.0,19.32,7.0
Mumbai,2024-11-07,Asia/Kolkata,33.6,21.7,27.5,70.0,35.0,57.0,0.0,0.0,16.1,9.1,29.5,10.0,19.38,0.0
Mumbai,2024-11-08,Asia/Kolkata,33.9,22.3,27.8,76.0,35.0,58.0,0.0,0.0,17.2,10.2,29.2,25.0,19.15,0.0
Mumbai,2024-11-09,Asia/Kolkata,34.2,22.1,27.9,77.0,27.0,58.0,0.0,0.0,17.9,10.5,31.7,31.0,19.07,0.0
Mumbai,2024-11-10,Asia/Kolkata,33.8,21.8,27.7,84.0,31.0,56.0,0.0,0.0,20.3,10.4,36.4,11.0,18.78,0.0
Mumbai,2024-11-11,Asia/Kolkata,33.4,23.0,28.1,70.0,30.0,47.0,0.0,0.0,20.6,12.0,35.6,26.0,19.09,0.0
Mumbai,2024-11-12,Asia/Kolkata,33.6,22.4,28.0,74.0,31.0,54.0,0.0,0.0,17.9,9.2,31.0,36.0,18.98,0.0
Mumbai,2024-11-13,Asia/Kolkata,34.9,23.5,28.6,67.0,29.0,49.0,0.0,0.0,12.6,8.6,34.2,31.0,18.81,3.0
Mumbai,2024-11-14,Asia/Kolkata,35.5,23.1,29.3,63.0,27.0,46.0,0.0,0.0,10.7,7.2,27.7,33.0,18.8,39.0
Mumbai,2024-11-15,Asia/Kolkata,34.0,25.2,29.2,84.0,41.0,58.0,0.3,3.0,10.5,6.2,30.6,350.0,16.78,65.0
Mumbai,2024-11-16,Asia/Kolkata,34.5,25.5,29.3,83.0,39.0,65.0,0.0,0.0,14.2,6.8,37.8,343.0,17.2,29.0
Mumbai,2024-11-17,Asia/Kolkata,35.9,25.8,29.9,74.0,30.0,59.0,0.0,0.0,14.5,7.7,39.2,3.0,17.72,6.0
Mumbai,2024-11-18,Asia/Kolkata,34.9,24.3,29.0,76.0,25.0,52.0,0.0,0.0,12.3,7.9,29.5,21.0,18.41,0.0
Mumbai,2024-11-19,Asia/Kolkata,34.0,22.2,27.8,60.0,22.0,45.0,0.0,0.0,14.1,8.0,32.0,22.0,18.56,0.0
Mumbai,2024-11-20,Asia/Kolkata,33.2,22.1,27.1,62.0,24.0,47.0,0.0,0.0,13.5,8.5,35.3,33.0,18.49,0.0
Mumbai,2024-11-21,Asia/Kolkata,33.2,21.5,26.8,69.0,22.0,49.0,0.0,0.0,12.8,7.7,35.6,15.0,18.49,3.0
Mumbai,2024-11-22,Asia/Kolkata,32.8,21.0,26.7,71.0,27.0,54.0,0.0,0.0,12.6,7.1,34.9,346.0,18.32,2.0
Mumbai,2024-11-23,Asia/Kolkata,32.1,21.7,26.6,77.0,32.0,56.0,0.0,0.0,10.1,6.3,29.2,353.0,18.06,30.0
Mumbai,2024-11-24,Asia/Kolkata,33.1,21.8,27.1,76.0,29.0,56.0,0.0,0.0,12.0,6.1,33.1,349.0,17.94,69.0
Mumbai,2024-11-25,Asia/Kolkata,33.0,21.5,26.8,76.0,24.0,54.0,0.0,0.0,13.0,7.6,31.7,18.0,17.98,72.0
Mumbai,2024-11-26,Asia/Kolkata,32.4,20.8,26.4,66.0,21.0,45.0,0.0,0.0,13.5,7.9,31.7,31.0,18.0,72.0
Mumbai,2024-11-27,Asia/Kolkata,32.7,20.5,26.3,65.0,19.0,42.0,0.0,0.0,13.1,8.5,32.4,28.0,18.2,13.0
Mumbai,2024-11-28,Asia/Kolkata,32.2,20.0,26.5,55.0,21.0,35.0,0.0,0.0,11.3,8.3,27.4,45.0,18.03,14.0
Mumbai,2024-11-29,Asia/Kolkata,31.5,20.4,25.4,61.0,20.0,42.0,0.0,0.0,14.4,8.8,34.9,18.0,18.08,19.0
Mumbai,2024-11-30,Asia/Kolkata,31.5,20.0,25.3,54.0,25.0,43.0,0.0,0.0,12.2,8.5,33.8,16.0,17.92,62.0
Mumbai,2024-12-01,Asia/Kolkata,32.7,20.6,26.0,63.0,32.0,52.0,0.0,0.0,13.3,8.3,35.3,5.0,17.13,89.0
Mumbai,2024-12-02,Asia/Kolkata,33.9,22.9,27.8,65.0,39.0,57.0,0.0,0.0,12.3,7.7,34.2,6.0,15.77,76.0
Mumbai,2024-12-03,Asia/Kolkata,33.7,25.7,29.0,67.0,45.0,59.0,0.2,1.0,14.5,9.0,36.7,17.0,15.47,75.0
Mumbai,2024-12-04,Asia/Kolkata,34.3,26.6,29.5,85.0,45.0,66.0,0.2,1.0,13.4,7.7,35.6,23.0,15.02,74.0
Mumbai,2024-12-05,Asia/Kolkata,34.4,25.9,29.4,91.0,39.0,69.0,0.0,0.0,10.4,7.0,31.3,335.0,15.76,33.0
Mumbai,2024-12-06,Asia/Kolkata,32.8,25.3,28.6,82.0,51.0,65.0,0.0,0.0,12.8,7.1,33.1,336.0,16.35,38.0
Mumbai,2024-12-07,Asia/Kolkata,32.9,24.4,27.7,68.0,29.0,51.0,0.0,0.0,15.6,9.8,40.0,343.0,16.86,43.0
Mumbai,2024-12-08,Asia/Kolkata,31.2,21.3,25.6,59.0,24.0,44.0,0.0,0.0,13.5,9.9,33.8,353.0,17.24,72.0
Mumbai,2024-12-09,Asia/Kolkata,31.0,20.5,25.0,58.0,19.0,36.0,0.0,0.0,16.2,11.9,36.0,3.0,16.77,49.0
Mumbai,2024-12-10,Asia/Kolkata,31.5,20.5,25.3,67.0,30.0,48.0,0.0,0.0,11.0,7.4,31.0,5.0,16.89,55.0
Mumbai,2024-12-11,Asia/Kolkata,33.7,21.3,26.4,71.0,29.0,57.0,0.0,0.0,12.3,7.4,33.5,18.0,16.79,31.0
Mumbai,2024-12-12,Asia/Kolkata,31.2,20.6,25.5,80.0,34.0,60.0,0.0,0.0,14.5,7.8,37.4,350.0,16.96,8.0
Mumbai,2024-12-13,Asia/Kolkata,32.4,21.3,26.0,73.0,23.0,51.0,0.0,0.0,12.0,8.8,32.4,24.0,17.15,79.0
Mumbai,2024-12-14,Asia/Kolkata,33.0,20.2,26.1,57.0,21.0,43.0,0.0,0.0,11.5,8.1,28.4,42.0,17.21,53.0
Mumbai,2024-12-15,Asia/Kolkata,33.3,19.1,25.6,58.0,18.0,44.0,0.0,0.0,10.3,6.9,26.6,29.0,17.26,19.0
Mumbai,2024-12-16,Asia/Kolkata,32.5,18.4,25.0,65.0,16.0,44.0,0.0,0.0,11.9,6.4,29.9,4.0,17.6,3.0
Mumbai,2024-12-17,Asia/Kolkata,30.9,17.9,24.1,70.0,23.0,49.0,0.0,0.0,12.3,5.7,29.2,343.0,17.43,39.0
Mumbai,2024-12-18,Asia/Kolkata,32.3,18.3,24.5,78.0,23.0,57.0,0.0,0.0,10.6,6.2,26.3,356.0,17.34,15.0
Mumbai,2024-12-19,Asia/Kolkata,29.8,18.0,23.8,90.0,34.0,69.0,0.0,0.0,11.4,5.6,31.0,333.0,17.09,20.0
Mumbai,2024-12-20,Asia/Kolkata,28.3,19.7,23.4,90.0,50.0,72.0,0.0,0.0,13.2,6.8,36.0,331.0,16.63,6.0
Mumbai,2024-12-21,Asia/Kolkata,28.0,19.3,23.6,94.0,54.0,75.0,0.0,0.0,10.5,5.1,31.7,285.0,16.43,3.0
Mumbai,2024-12-22,Asia/Kolkata,27.9,21.0,24.1,90.0,58.0,77.0,0.0,0.0,12.0,6.2,34.2,318.0,15.24,30.0
Mumbai,2024-12-23,Asia/Kolkata,27.4,21.3,24.0,88.0,56.0,71.0,0.0,0.0,14.7,8.8,40.3,339.0,14.48,25.0
Mumbai,2024-12-24,Asia/Kolkata,28.6,20.7,24.1,73.0,46.0,60.0,0.0,0.0,16.1,10.4,42.5,343.0,15.34,21.0
Mumbai,2024-12-25,Asia/Kolkata,28.8,20.4,24.1,77.0,46.0,61.0,0.0,0.0,14.1,10.0,38.2,342.0,16.35,12.0
Mumbai,2024-12-26,Asia/Kolkata,29.7,21.6,25.1,80.0,51.0,68.0,0.0,0.0,12.9,8.3,33.1,338.0,15.65,22.0
Mumbai,2024-12-27,Asia/Kolkata,28.3,21.8,24.8,81.0,53.0,70.0,0.0,0.0,14.5,9.0,39.2,337.0,15.86,9.0
Mumbai,2024-12-28,Asia/Kolkata,30.0,21.8,25.2,80.0,49.0,68.0,0.3,3.0,14.0,7.1,36.7,350.0,14.45,19.0
Mumbai,2024-12-29,Asia/Kolkata,30.5,22.3,25.8,81.0,54.0,69.0,0.0,0.0,12.3,8.6,32.4,347.0,15.75,16.0
Mumbai,2024-12-30,Asia/Kolkata,32.7,23.5,27.1,74.0,40.0,63.0,0.0,0.0,11.7,8.3,32.0,355.0,16.35,1.0
Mumbai,2024-12-31,Asia/Kolkata,33.3,22.9,27.3,77.0,33.0,59.0,0.0,0.0,12.4,7.8,34.6,351.0,16.62,0.0
Mumbai,2025-01-01,Asia/Kolkata,32.5,22.5,26.9,78.0,37.0,61.0,0.0,0.0,12.9,8.3,33.8,350.0,16.79,0.0
Mumbai,2025-01-02,Asia/Kolkata,32.9,21.4,26.8,82.0,33.0,58.0,0.0,0.0,15.1,8.3,33.8,357.0,17.13,1.0
Mumbai,2025-01-03,Asia/Kolkata,33.5,21.3,26.6,68.0,25.0,52.0,0.0,0.0,13.7,7.7,31.3,7.0,17.37,30.0
Mumbai,2025-01-04,Asia/Kolkata,33.0,19.4,25.5,64.0,16.0,48.0,0.0,0.0,11.9,5.8,34.2,352.0,17.73,20.0
Mumbai,2025-01-05,Asia/Kolkata,29.3,21.4,24.6,76.0,39.0,62.0,0.0,0.0,13.5,7.9,34.6,334.0,13.31,57.0
